$\kappa$,$\tilde{\lambda}$,$\varphi$,$\tilde{\tau}$,$\tilde{\tau}_c$,$S$,$\Delta \tilde{G}$,$\beta$,$N$,$\tilde{T}$,x_scale,x_offset,t_scale,t_offset,f_scale,f_offset
1.300482690567150712e-04,1.917398348450660706e-02,1.063357293605804443e-01,3.788938513025641441e-03,3.388100594747811556e-04,3.363314867019653320e-01,4.945563673973083496e-01,9.532439708709716797e-02,7.531527280807495117e-01,8.225768804550170898e-01,1.453808043152093887e-02,1.183800399303436279e-01,8.834373950958251953e-01,6.033532693982124329e-02,4.601581096649169922e-01,8.159380406141281128e-03
5.354694649577140808e-02,1.648340912652201951e-05,2.195382490754127502e-02,6.413348913192749023e-01,3.698293119668960571e-02,9.532439708709716797e-02,6.790323853492736816e-01,5.300853848457336426e-01,5.300853848457336426e-01,5.665554404258728027e-01,3.788938513025641441e-03,7.531527280807495117e-01,2.594859898090362549e-01,4.434921313077211380e-03,9.666926264762878418e-01,2.369585931301116943e-01
1.300482690567150712e-04,1.412632875144481659e-03,1.781822741031646729e-01,1.067383709596469998e-04,3.230568021535873413e-03,6.784810125827789307e-02,2.835446298122406006e-01,6.784810125827789307e-02,7.026994600892066956e-03,6.790323853492736816e-01,1.064571461029117927e-05,4.270395934581756592e-01,5.665554404258728027e-01,5.180647131055593491e-03,4.601581096649169922e-01,1.063357293605804443e-01
6.784810125827789307e-02,1.449765392180779600e-07,1.917398348450660706e-02,9.532439708709716797e-02,4.192271083593368530e-02,8.528146892786026001e-02,3.091569542884826660e-01,4.078621568623930216e-04,1.458278149366378784e-01,7.164461016654968262e-01,1.093508396297693253e-02,1.063357293605804443e-01,2.594859898090362549e-01,1.581310934852808714e-04,6.037324666976928711e-01,7.531527280807495117e-01
4.900039057247340679e-04,4.078621568623930216e-04,9.532439708709716797e-02,5.180647131055593491e-03,2.044915163423866034e-05,5.300853848457336426e-01,6.413348913192749023e-01,1.183800399303436279e-01,3.091569542884826660e-01,4.270395934581756592e-01,5.180647131055593491e-03,7.886914610862731934e-01,9.455285966396331787e-03,1.978520536795258522e-03,6.790323853492736816e-01,2.860851772129535675e-02
2.159286439418792725e-01,2.995600922872654337e-08,3.363314867019653320e-01,4.742716625332832336e-02,7.147242286009714007e-05,6.037324666976928711e-01,4.192271083593368530e-02,1.918928173836320639e-04,3.953133523464202881e-01,3.953133523464202881e-01,1.183800399303436279e-01,9.322013854980468750e-01,2.195382490754127502e-02,1.300482690567150712e-04,6.790323853492736816e-01,5.665554404258728027e-01
5.875093629583716393e-04,8.327494924742495641e-07,9.455285966396331787e-03,3.230568021535873413e-03,7.030062261037528515e-04,7.614339888095855713e-02,4.601581096649169922e-01,1.781822741031646729e-01,1.671262457966804504e-02,8.543168902397155762e-01,7.030062261037528515e-04,2.835446298122406006e-01,9.532439708709716797e-02,1.613603234291076660e-01,3.363314867019653320e-01,2.835446298122406006e-01
1.315224170684814453e-01,1.325204124213996693e-08,5.180647131055593491e-03,9.455285966396331787e-03,5.830963345943018794e-05,3.363314867019653320e-01,2.159286439418792725e-01,1.183800399303436279e-01,4.192271083593368530e-02,2.835446298122406006e-01,8.395233307965099812e-04,6.037324666976928711e-01,4.742716625332832336e-02,1.190057024359703064e-03,2.369585931301116943e-01,6.413348913192749023e-01
1.300482690567150712e-04,8.743095531826838851e-05,1.963532119989395142e-01,1.453808043152093887e-02,7.026994600892066956e-03,7.531527280807495117e-01,2.594859898090362549e-01,2.748969243839383125e-03,2.748969243839383125e-03,1.183800399303436279e-01,1.412632875144481659e-03,7.164461016654968262e-01,4.270395934581756592e-01,1.262116897851228714e-02,9.095127582550048828e-01,1.063357293605804443e-01
4.742716625332832336e-02,2.044915163423866034e-05,2.508634887635707855e-02,2.808847639244049788e-04,1.963532119989395142e-01,4.601581096649169922e-01,3.091569542884826660e-01,2.748969243839383125e-03,4.601581096649169922e-01,8.528146892786026001e-02,8.743095531826838851e-05,3.255992010235786438e-02,4.192271083593368530e-02,7.026994600892066956e-03,7.164461016654968262e-01,1.613603234291076660e-01
